C:\DRS_Java\TestArea\Java_Performance\test>rtime java -jar target\benchmarks.jar
# VM invoker: C:\Program Files (x86)\Java\jre1.8.0_66\bin\java.exe
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: org.sample.MyBenchmark.testMethod

# Run progress: 0,00% complete, ETA 00:06:40
# Fork: 1 of 10
# Warmup Iteration   1: 1395297938,704 ops/s
# Warmup Iteration   2: 1427872038,009 ops/s
# Warmup Iteration   3: 1442648782,551 ops/s
# Warmup Iteration   4: 1421280497,415 ops/s
# Warmup Iteration   5: 1402763314,933 ops/s
# Warmup Iteration   6: 1471186089,486 ops/s
# Warmup Iteration   7: 1460289876,095 ops/s
# Warmup Iteration   8: 1458823656,477 ops/s
# Warmup Iteration   9: 1429457590,420 ops/s
# Warmup Iteration  10: 1450657856,995 ops/s
# Warmup Iteration  11: 1454056865,120 ops/s
# Warmup Iteration  12: 1441472455,708 ops/s
# Warmup Iteration  13: 1449467470,889 ops/s
# Warmup Iteration  14: 1465975288,725 ops/s
# Warmup Iteration  15: 1431839697,887 ops/s
# Warmup Iteration  16: 1422971671,537 ops/s
# Warmup Iteration  17: 1449135277,019 ops/s
# Warmup Iteration  18: 1370214748,396 ops/s
# Warmup Iteration  19: 1403615768,981 ops/s
# Warmup Iteration  20: 1357397981,542 ops/s
Iteration   1: 1388134409,659 ops/s
Iteration   2: 1371771851,283 ops/s
Iteration   3: 1477085650,509 ops/s
Iteration   4: 1425606452,019 ops/s
Iteration   5: 1459951333,294 ops/s
Iteration   6: 1468062328,335 ops/s
Iteration   7: 1463456945,788 ops/s
Iteration   8: 1424556398,975 ops/s
Iteration   9: 1336049990,548 ops/s
Iteration  10: 1388058091,058 ops/s
Iteration  11: 1387623727,096 ops/s
Iteration  12: 1439935309,152 ops/s
Iteration  13: 1480084402,124 ops/s
Iteration  14: 1449890737,301 ops/s
Iteration  15: 1413003598,676 ops/s
Iteration  16: 1420732939,589 ops/s
Iteration  17: 1455216017,514 ops/s
Iteration  18: 1473904792,510 ops/s
Iteration  19: 1379516678,243 ops/s
Iteration  20: 1442351026,505 ops/s

# Run progress: 10,00% complete, ETA 00:07:09
# Fork: 2 of 10
# Warmup Iteration   1: 1445256898,975 ops/s
# Warmup Iteration   2: 1427305850,857 ops/s
# Warmup Iteration   3: 1276926795,749 ops/s
# Warmup Iteration   4: 1452124966,715 ops/s
# Warmup Iteration   5: 1442720808,286 ops/s
# Warmup Iteration   6: 1420808109,723 ops/s
# Warmup Iteration   7: 1343323352,537 ops/s
# Warmup Iteration   8: 1466121360,581 ops/s
# Warmup Iteration   9: 1442095666,435 ops/s
# Warmup Iteration  10: 1457738801,097 ops/s
# Warmup Iteration  11: 1472149154,531 ops/s
# Warmup Iteration  12: 1439207806,166 ops/s
# Warmup Iteration  13: 1451967344,350 ops/s
# Warmup Iteration  14: 1451525560,925 ops/s
# Warmup Iteration  15: 1377203715,941 ops/s
# Warmup Iteration  16: 1420231791,161 ops/s
# Warmup Iteration  17: 1437050509,544 ops/s
# Warmup Iteration  18: 1468903232,346 ops/s
# Warmup Iteration  19: 1442261514,204 ops/s
# Warmup Iteration  20: 1362309700,216 ops/s
Iteration   1: 1455448208,124 ops/s
Iteration   2: 1409759206,835 ops/s
Iteration   3: 1449359832,323 ops/s
Iteration   4: 1386045828,337 ops/s
Iteration   5: 1450651265,011 ops/s
Iteration   6: 1462363248,345 ops/s
Iteration   7: 1454358189,821 ops/s
Iteration   8: 1391963506,216 ops/s
Iteration   9: 1423110515,080 ops/s
Iteration  10: 1386732683,950 ops/s
Iteration  11: 1439013577,830 ops/s
Iteration  12: 1378038657,205 ops/s
Iteration  13: 1455748590,619 ops/s
Iteration  14: 1350565159,025 ops/s
Iteration  15: 1421888684,027 ops/s
Iteration  16: 1067398747,331 ops/s
Iteration  17: 876512662,786 ops/s
Iteration  18: 1256454274,126 ops/s
Iteration  19: 1349866396,440 ops/s
Iteration  20: 1300728142,197 ops/s

# Run progress: 20,00% complete, ETA 00:06:20
# Fork: 3 of 10
# Warmup Iteration   1: 1329779284,176 ops/s
# Warmup Iteration   2: 1410720492,252 ops/s
# Warmup Iteration   3: 1451425367,022 ops/s
# Warmup Iteration   4: 1449922926,330 ops/s
# Warmup Iteration   5: 1353410511,273 ops/s
# Warmup Iteration   6: 1382272232,977 ops/s
# Warmup Iteration   7: 1425616029,861 ops/s
# Warmup Iteration   8: 1399092594,423 ops/s
# Warmup Iteration   9: 1422098924,628 ops/s
# Warmup Iteration  10: 1410195452,935 ops/s
# Warmup Iteration  11: 1453348124,610 ops/s
# Warmup Iteration  12: 1443049710,638 ops/s
# Warmup Iteration  13: 1449310335,636 ops/s
# Warmup Iteration  14: 1476452908,638 ops/s
# Warmup Iteration  15: 1415063963,034 ops/s
# Warmup Iteration  16: 1445485521,059 ops/s
# Warmup Iteration  17: 1434238007,064 ops/s
# Warmup Iteration  18: 1405138422,178 ops/s
# Warmup Iteration  19: 1374880361,216 ops/s
# Warmup Iteration  20: 1362567238,739 ops/s
Iteration   1: 1244227411,464 ops/s
Iteration   2: 1397113271,057 ops/s
Iteration   3: 1372317284,904 ops/s
Iteration   4: 1438237646,539 ops/s
Iteration   5: 1440483391,805 ops/s
Iteration   6: 1419236640,567 ops/s
Iteration   7: 1438691688,040 ops/s
Iteration   8: 1417080347,221 ops/s
Iteration   9: 1415804156,889 ops/s
Iteration  10: 1408773335,106 ops/s
Iteration  11: 1467650804,774 ops/s
Iteration  12: 1433133731,806 ops/s
Iteration  13: 1426780035,678 ops/s
Iteration  14: 1406249630,449 ops/s
Iteration  15: 1452813863,235 ops/s
Iteration  16: 1453458600,966 ops/s
Iteration  17: 1450223493,143 ops/s
Iteration  18: 1439321666,226 ops/s
Iteration  19: 1432743255,414 ops/s
Iteration  20: 1430777548,962 ops/s

# Run progress: 30,00% complete, ETA 00:05:31
# Fork: 4 of 10
# Warmup Iteration   1: 1415756889,847 ops/s
# Warmup Iteration   2: 1373964214,429 ops/s
# Warmup Iteration   3: 1413374319,086 ops/s
# Warmup Iteration   4: 1431415980,968 ops/s
# Warmup Iteration   5: 1421623626,139 ops/s
# Warmup Iteration   6: 1424243957,754 ops/s
# Warmup Iteration   7: 1457170484,569 ops/s
# Warmup Iteration   8: 1449617759,145 ops/s
# Warmup Iteration   9: 1233943969,124 ops/s
# Warmup Iteration  10: 1398347373,356 ops/s
# Warmup Iteration  11: 1360292981,544 ops/s
# Warmup Iteration  12: 1341202983,449 ops/s
# Warmup Iteration  13: 1416233633,359 ops/s
# Warmup Iteration  14: 1393393515,875 ops/s
# Warmup Iteration  15: 1418274438,006 ops/s
# Warmup Iteration  16: 1370396945,469 ops/s
# Warmup Iteration  17: 1438112109,966 ops/s
# Warmup Iteration  18: 1482857609,483 ops/s
# Warmup Iteration  19: 1435588482,972 ops/s
# Warmup Iteration  20: 1473919671,094 ops/s
Iteration   1: 1391216371,481 ops/s
Iteration   2: 1458993554,814 ops/s
Iteration   3: 1457304553,147 ops/s
Iteration   4: 1457688473,595 ops/s
Iteration   5: 1468735707,927 ops/s
Iteration   6: 1488260104,184 ops/s
Iteration   7: 1450813481,342 ops/s
Iteration   8: 1430916436,614 ops/s
Iteration   9: 1413015669,528 ops/s
Iteration  10: 1443975295,605 ops/s
Iteration  11: 1435022685,438 ops/s
Iteration  12: 1453633141,154 ops/s
Iteration  13: 1400179818,495 ops/s
Iteration  14: 1343569442,616 ops/s
Iteration  15: 1334764148,583 ops/s
Iteration  16: 1414894621,233 ops/s
Iteration  17: 1443825332,974 ops/s
Iteration  18: 1397739518,957 ops/s
Iteration  19: 1441579364,453 ops/s
Iteration  20: 1447379678,820 ops/s

# Run progress: 40,00% complete, ETA 00:04:43
# Fork: 5 of 10
# Warmup Iteration   1: 1419842368,785 ops/s
# Warmup Iteration   2: 1442419311,624 ops/s
# Warmup Iteration   3: 1352502181,179 ops/s
# Warmup Iteration   4: 1354997830,715 ops/s
# Warmup Iteration   5: 1401339335,079 ops/s
# Warmup Iteration   6: 1423312238,140 ops/s
# Warmup Iteration   7: 1376102907,193 ops/s
# Warmup Iteration   8: 1301248505,562 ops/s
# Warmup Iteration   9: 1269713649,292 ops/s
# Warmup Iteration  10: 1298471613,740 ops/s
# Warmup Iteration  11: 1448542087,798 ops/s
# Warmup Iteration  12: 1394195848,921 ops/s
# Warmup Iteration  13: 1402196082,619 ops/s
# Warmup Iteration  14: 1313381394,767 ops/s
# Warmup Iteration  15: 1351943495,935 ops/s
# Warmup Iteration  16: 1368536791,510 ops/s
# Warmup Iteration  17: 1404155769,937 ops/s
# Warmup Iteration  18: 1434134778,961 ops/s
# Warmup Iteration  19: 1475436221,412 ops/s
# Warmup Iteration  20: 1449462999,341 ops/s
Iteration   1: 1401536727,603 ops/s
Iteration   2: 1320343003,174 ops/s
Iteration   3: 1124895030,079 ops/s
Iteration   4: 1450574161,313 ops/s
Iteration   5: 1436863611,270 ops/s
Iteration   6: 1412610060,370 ops/s
Iteration   7: 1316355497,978 ops/s
Iteration   8: 1436009108,462 ops/s
Iteration   9: 1430269591,481 ops/s
Iteration  10: 1359483011,768 ops/s
Iteration  11: 1197438792,228 ops/s
Iteration  12: 1270797992,655 ops/s
Iteration  13: 1222014244,666 ops/s
Iteration  14: 953121172,887 ops/s
Iteration  15: 1073661046,348 ops/s
Iteration  16: 1139043670,697 ops/s
Iteration  17: 1150016765,898 ops/s
Iteration  18: 1024592862,412 ops/s
Iteration  19: 1215859998,533 ops/s
Iteration  20: 1146053756,229 ops/s

# Run progress: 50,00% complete, ETA 00:03:56
# Fork: 6 of 10
# Warmup Iteration   1: 1106640922,528 ops/s
# Warmup Iteration   2: 999523744,226 ops/s
# Warmup Iteration   3: 1400787574,315 ops/s
# Warmup Iteration   4: 1379933777,540 ops/s
# Warmup Iteration   5: 1400149683,710 ops/s
# Warmup Iteration   6: 1459892168,230 ops/s
# Warmup Iteration   7: 1356097306,858 ops/s
# Warmup Iteration   8: 1325444905,678 ops/s
# Warmup Iteration   9: 1445497288,566 ops/s
# Warmup Iteration  10: 1435871000,754 ops/s
# Warmup Iteration  11: 1440991184,822 ops/s
# Warmup Iteration  12: 1415276702,565 ops/s
# Warmup Iteration  13: 1396436057,153 ops/s
# Warmup Iteration  14: 1403843540,344 ops/s
# Warmup Iteration  15: 1467055663,244 ops/s
# Warmup Iteration  16: 1402247980,346 ops/s
# Warmup Iteration  17: 1364290665,973 ops/s
# Warmup Iteration  18: 1430329585,490 ops/s
# Warmup Iteration  19: 1392907592,095 ops/s
# Warmup Iteration  20: 1456603152,037 ops/s
Iteration   1: 1424907342,130 ops/s
Iteration   2: 1423177321,926 ops/s
Iteration   3: 1406950273,132 ops/s
Iteration   4: 1454848693,723 ops/s
Iteration   5: 1373782797,282 ops/s
Iteration   6: 1278976766,818 ops/s
Iteration   7: 1364649288,725 ops/s
Iteration   8: 1408039030,847 ops/s
Iteration   9: 1415963606,900 ops/s
Iteration  10: 1350622549,658 ops/s
Iteration  11: 1427789057,638 ops/s
Iteration  12: 1446554153,204 ops/s
Iteration  13: 1435355644,628 ops/s
Iteration  14: 1406884734,237 ops/s
Iteration  15: 1448657635,523 ops/s
Iteration  16: 1456050521,474 ops/s
Iteration  17: 1424908751,867 ops/s
Iteration  18: 1395062179,788 ops/s
Iteration  19: 1400878929,288 ops/s
Iteration  20: 1435172146,318 ops/s

# Run progress: 60,00% complete, ETA 00:03:08
# Fork: 7 of 10
# Warmup Iteration   1: 1424263044,896 ops/s
# Warmup Iteration   2: 1340969527,167 ops/s
# Warmup Iteration   3: 1326910737,273 ops/s
# Warmup Iteration   4: 1342243903,960 ops/s
# Warmup Iteration   5: 1296238291,306 ops/s
# Warmup Iteration   6: 1343285474,960 ops/s
# Warmup Iteration   7: 1205089589,809 ops/s
# Warmup Iteration   8: 1356368440,183 ops/s
# Warmup Iteration   9: 1441809445,989 ops/s
# Warmup Iteration  10: 1435109340,318 ops/s
# Warmup Iteration  11: 1379423332,907 ops/s
# Warmup Iteration  12: 1423480981,481 ops/s
# Warmup Iteration  13: 1407569367,511 ops/s
# Warmup Iteration  14: 1429978078,128 ops/s
# Warmup Iteration  15: 1410298169,988 ops/s
# Warmup Iteration  16: 1458471710,853 ops/s
# Warmup Iteration  17: 1410235470,265 ops/s
# Warmup Iteration  18: 1374608893,403 ops/s
# Warmup Iteration  19: 1459757216,440 ops/s
# Warmup Iteration  20: 1484031941,280 ops/s
Iteration   1: 1448630798,945 ops/s
Iteration   2: 1480052121,929 ops/s
Iteration   3: 1420888179,902 ops/s
Iteration   4: 1394596654,543 ops/s
Iteration   5: 1427705436,116 ops/s
Iteration   6: 1456225086,223 ops/s
Iteration   7: 1399502472,332 ops/s
Iteration   8: 1395723024,017 ops/s
Iteration   9: 1417097347,985 ops/s
Iteration  10: 1443893414,585 ops/s
Iteration  11: 1420955058,396 ops/s
Iteration  12: 1416042645,462 ops/s
Iteration  13: 1404810867,677 ops/s
Iteration  14: 1452526938,260 ops/s
Iteration  15: 1429482286,642 ops/s
Iteration  16: 1431844600,673 ops/s
Iteration  17: 1413164111,310 ops/s
Iteration  18: 1429669232,079 ops/s
Iteration  19: 1375728562,258 ops/s
Iteration  20: 1449546127,202 ops/s

# Run progress: 70,00% complete, ETA 00:02:21
# Fork: 8 of 10
# Warmup Iteration   1: 1452673555,954 ops/s
# Warmup Iteration   2: 1392700197,230 ops/s
# Warmup Iteration   3: 1451402966,859 ops/s
# Warmup Iteration   4: 1437414859,899 ops/s
# Warmup Iteration   5: 1397102716,620 ops/s
# Warmup Iteration   6: 1394529088,186 ops/s
# Warmup Iteration   7: 1461695750,881 ops/s
# Warmup Iteration   8: 1425855955,333 ops/s
# Warmup Iteration   9: 1435904315,173 ops/s
# Warmup Iteration  10: 1431055189,625 ops/s
# Warmup Iteration  11: 1443675791,192 ops/s
# Warmup Iteration  12: 1421936135,293 ops/s
# Warmup Iteration  13: 1458119313,009 ops/s
# Warmup Iteration  14: 1412036716,540 ops/s
# Warmup Iteration  15: 1437662519,295 ops/s
# Warmup Iteration  16: 1420813027,103 ops/s
